,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
167,token-classification,udpos28,3822decc,nl,ur,xlm-roberta-base,ft,67.81034715655815
168,token-classification,udpos28,3822decc,nl,ro,xlm-roberta-base,ft,81.65347573185849
169,token-classification,udpos28,3822decc,nl,fa,xlm-roberta-base,ft,77.04135576835937
170,token-classification,udpos28,3822decc,nl,apu,xlm-roberta-base,ft,26.307189542483663
171,token-classification,udpos28,3822decc,nl,ja,xlm-roberta-base,ft,41.78386249023368
172,token-classification,udpos28,3822decc,nl,hu,xlm-roberta-base,ft,86.29402756508424
173,token-classification,udpos28,3822decc,nl,hi,xlm-roberta-base,ft,72.60500514689751
174,token-classification,udpos28,3822decc,nl,lzh,xlm-roberta-base,ft,32.92503899440315
175,token-classification,udpos28,3822decc,nl,koi,xlm-roberta-base,ft,39.45172824791419
176,token-classification,udpos28,3822decc,nl,fo,xlm-roberta-base,ft,75.78800408097514
177,token-classification,udpos28,3822decc,nl,sa,xlm-roberta-base,ft,15.854137998820523
178,token-classification,udpos28,3822decc,nl,olo,xlm-roberta-base,ft,57.795698924731184
179,token-classification,udpos28,3822decc,nl,ar,xlm-roberta-base,ft,78.34482107449722
180,token-classification,udpos28,3822decc,nl,wo,xlm-roberta-base,ft,22.164614387556707
181,token-classification,udpos28,3822decc,nl,bg,xlm-roberta-base,ft,88.78784024421267
182,token-classification,udpos28,3822decc,nl,aqz,xlm-roberta-base,ft,31.10539845758355
183,token-classification,udpos28,3822decc,nl,mpu,xlm-roberta-base,ft,13.698630136986301
184,token-classification,udpos28,3822decc,nl,xnr,xlm-roberta-base,ft,43.99363564041368
185,token-classification,udpos28,3822decc,nl,br,xlm-roberta-base,ft,60.072796328532995
186,token-classification,udpos28,3822decc,nl,te,xlm-roberta-base,ft,85.15950069348128
187,token-classification,udpos28,3822decc,nl,yue,xlm-roberta-base,ft,60.46845811179767
188,token-classification,udpos28,3822decc,nl,cu,xlm-roberta-base,ft,38.95922639816568
189,token-classification,udpos28,3822decc,nl,krl,xlm-roberta-base,ft,69.13380736910149
190,token-classification,udpos28,3822decc,nl,hsb,xlm-roberta-base,ft,65.28502235469449
191,token-classification,udpos28,3822decc,nl,ajp,xlm-roberta-base,ft,64.89226869455005
192,token-classification,udpos28,3822decc,nl,kpv,xlm-roberta-base,ft,32.037245472219375
193,token-classification,udpos28,3822decc,nl,ga,xlm-roberta-base,ft,62.4814031790776
