ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_wals,classification_ethnologue,classification_glottolog,recently_extinct,long_extinct,year_of_extinction,code_wals,code_iso,transcribers
PATICHORA_SANTALI,PATICHORA_SANTALI,sant1410,Santali,sat,Eurasia,24.5,87.0,Austroasiatic,AuA.MUNDA,"Austro-Asiatic,Munda,NorthMunda,Kherwari,Santali","Austroasiatic,Mundaic,NorthMunda,Kherwarian,Santalic",False,False,,stl,sat,Sebastian Sauppe
PATPATAR,PATPATAR,patp1243,Patpatar,gfk,Papunesia,-3.77,152.5,Austronesian,An.OCEANIC,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceanic,MesoMelanesian,NewIreland,SouthNewIreland-NorthwestSolomonic,Patpatar-Tolai","Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,MesoMelanesianlinkage,NewIreland-NorthwestSolomoniclinkage,StGeorgelinkage,Patpatar-Minigir-Tolai",False,False,,ptp,gfk,André Müller
PATTANI,PATTANI,patt1248,Pattani,lae,Eurasia,32.75,76.75,Sino-Tibetan,ST.BODIC,"Sino-Tibetan,Tibeto-Burman,WesternTibeto-Burman,Bodish,WestHimalayish,Kinauri","Sino-Tibetan,Bodic,Tibeto-Kanauri,WesternTibeto-Kanauri,Lahaulic",False,False,,ptt,lae,Matthew S. Dryer
PATWIN,PATWIN,patw1250,Patwin,pwi,North America,39.21,-122.01,Wintuan,Pen.WINTUAN,Wintuan,Wintuan,False,False,,,pwi,Matthew S. Dryer
PAULOHI,PAULOHI,paul1238,Paulohi,plh,Papunesia,-3.25,128.8,Austronesian,An.CENTRAL_MALAYO-POLYNESIAN,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,CentralMaluku,East,Seram,Nunusaku,PiruBay,East,SeramStraits,Solehua","Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,CentralMalayo-Polynesian,CentralMaluku,EastCentralMaluku,Nunusaku,PiruBay,EastPiruBay,Solehua",False,False,,plh,plh,André Müller
PAUMARI,PAUMARI,paum1247,Paumari,pad,South America,-6.0,-64.0,Arawan,Aru.ARAUAN,Arauan,Arawan,False,False,,pau,pad,Cecil H. Brown
PAURI_BARELI,PAURI_BARELI,paur1238,Pauri Bareli,bfb,Eurasia,21.23,74.34,Indo-European,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Bhil","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone,SubcontinentalCentralIndo-Aryan,Bhil,Pauri-Nahali",False,False,,,bfb,Tessa de Mol-van Valen
PAUSERNA,PAUSERNA,paus1244,Warázu,psm,South America,-12.86,-63.19,Tupian,Tup.TUPI-GUARANI,"Tupian,Tupi-Guarani,Guarayo","Tupian,Maweti-Guarani,Aweti-Guarani,Tupi-Guarani,Tupi-GuaraniSubgroupII,Warazu-Sirionoid",True,False,2016,,psm,Julia Bischoffberger
PAUWI_2,PAUWI_2,,,,,-1.65,137.8,,An.CENTRAL_MALAYO-POLYNESIAN,LowerMamberamo,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,GreaterSHWNG,SouthHalmahera-WestNewGuinea,LowerMamberamo,Yoke-Pauwi",False,False,,,pa0,Matthew S. Dryer
PAUWI_3,PAUWI_3,,,,,-1.65,137.8,,An.CENTRAL_MALAYO-POLYNESIAN,LowerMamberamo,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,GreaterSHWNG,SouthHalmahera-WestNewGuinea,LowerMamberamo,Yoke-Pauwi",False,False,,,pa0,Matthew S. Dryer
PAWAIA,PAWAIA,pawa1255,Pawaia,pwa,Papunesia,-7.0,145.08,Pawaia,Teb.PAWAIAN,"Trans-NewGuinea,Pawaian",Pawaia,False,False,,paw,pwa,Julia Bischoffberger
PAWAIA_2,PAWAIA_2,pawa1255,Pawaia,pwa,Papunesia,-7.0,145.08,Pawaia,Teb.PAWAIAN,"Trans-NewGuinea,Pawaian",Pawaia,False,False,,paw,pwa,Matthew S. Dryer and Søren Wichmann
PAWNEE,PAWNEE,pawn1254,Pawnee,paw,North America,41.0,-98.67,Caddoan,Cad.CADDOAN,"Caddoan,NorthernCaddoan,Kitsai-Proto-Pawnee,Proto-Pawnee","Caddoan,NorthernCaddoan,Pawnee-Kitsai,Pawnee-Arikara",False,False,,pwn,paw,
